age,education,balance,duration
49,primary,-354,455
32,secondary,212,830
52,primary,9444,271
35,tertiary,14,167
60,tertiary,468,108
33,primary,-15,326
43,tertiary,1530,91
42,secondary,1133,375
50,unknown,680,457
33,secondary,329,227
42,secondary,473,216
26,secondary,-8019,299
25,tertiary,226,366
26,secondary,383,238
39,secondary,1,281
39,secondary,27,290
31,secondary,49,234
52,tertiary,1023,107
28,secondary,1507,92
46,primary,3969,46
28,secondary,198,159
54,secondary,0,97
45,primary,55,112
58,primary,124,293
42,secondary,419,88
34,secondary,-72,273
50,secondary,0,152
59,primary,3372,87
56,secondary,58932,339
58,secondary,-354,98
31,tertiary,-513,124
58,secondary,916,244
25,secondary,402,264
32,secondary,22,280
38,primary,433,116
33,secondary,1326,164
37,secondary,147,25
38,tertiary,76,196
31,tertiary,1598,36
52,secondary,497,277
27,secondary,145,95
25,primary,0,116
31,tertiary,383,305
35,tertiary,1361,15
28,secondary,-1270,237
29,secondary,-305,263
33,secondary,2284,210
39,secondary,0,333
47,secondary,-594,100
39,unknown,18,75
50,secondary,1717,416
50,tertiary,387,221
49,tertiary,96,51
44,primary,5038,199
28,secondary,1581,576
31,secondary,8,340
47,secondary,1152,260
30,tertiary,101,187
29,secondary,218,255
51,primary,720,160
44,tertiary,0,96
43,secondary,-213,543
44,secondary,300,182
41,secondary,-396,104
59,primary,55,13
49,secondary,766,150
31,secondary,9,167
50,tertiary,223,264
33,secondary,0,224
58,primary,853,317
36,tertiary,1346,74
35,tertiary,122,179
30,secondary,52,422
27,primary,1659,447
35,tertiary,126,371
53,secondary,143,122
35,secondary,1688,41
60,tertiary,-108,79
27,secondary,102,159
54,secondary,203,238
48,secondary,252,261
40,secondary,-626,140
26,secondary,6,360
38,secondary,0,500
31,primary,76,146
46,primary,14,407
27,tertiary,1117,416
53,primary,1086,112
40,primary,-23,756
43,secondary,128,122
37,unknown,897,339
31,primary,-367,352
28,secondary,-228,164
43,primary,8,245
28,secondary,619,327
47,secondary,24,95
43,tertiary,42,285
57,tertiary,-40,88
58,secondary,282,78
25,secondary,267,422
31,secondary,726,719
47,primary,50,167
43,secondary,1926,89
27,secondary,379,269
45,secondary,4688,112
31,tertiary,256,28
33,secondary,-805,208
31,secondary,-2,221
32,secondary,473,624
41,primary,175,252
31,secondary,-407,230
30,secondary,148,482
44,primary,-24,564
28,secondary,305,625
31,tertiary,2,53
36,secondary,-308,279
25,secondary,3,136
25,secondary,-55,242
27,primary,52,185
60,tertiary,1573,79
36,unknown,-395,9
49,primary,4140,205
25,secondary,495,131
46,tertiary,74,15
50,tertiary,92,192
50,primary,5,118
33,tertiary,568,219
42,secondary,4314,214
30,secondary,312,188
42,tertiary,24,262
28,secondary,54,226
34,tertiary,412,164
33,tertiary,-139,290
26,secondary,-306,342
29,secondary,210,140
28,secondary,551,161
32,tertiary,31,259
45,secondary,0,47
59,secondary,184,163
46,secondary,562,491
32,tertiary,2102,220
44,tertiary,193,104
26,secondary,5,54
53,secondary,66,141
46,primary,-169,109
35,primary,2643,259
56,primary,12,226
60,primary,75,183
36,secondary,-257,24
29,primary,170,216
60,primary,-85,58
55,tertiary,979,123
27,tertiary,136,146
33,tertiary,-258,362
33,tertiary,99,159
55,primary,150,124
28,secondary,476,306
28,tertiary,226,191
26,secondary,-378,165
31,tertiary,296,509
39,secondary,1661,431
26,tertiary,122,160
27,primary,-90,175
42,primary,1322,178
42,secondary,-272,186
34,secondary,-133,395
32,secondary,2,143
35,tertiary,0,201
33,secondary,-627,740
52,tertiary,-468,534
30,secondary,0,320
25,tertiary,1098,425
34,tertiary,191,59
45,secondary,-605,208
27,secondary,-400,290
36,secondary,68,85
51,secondary,38,31
26,tertiary,291,393
32,tertiary,2,82
58,tertiary,264,523
57,tertiary,1029,203
56,tertiary,87,136
58,secondary,1457,144
25,secondary,-220,152
34,secondary,-97,119
27,secondary,0,732
29,secondary,1274,136
36,tertiary,128,733
46,tertiary,3,85
32,primary,642,524
55,primary,137,377
28,secondary,455,286
26,secondary,-35,304
39,secondary,230,106
55,secondary,51,102
33,secondary,-54,42
29,primary,7,240
45,secondary,12389,711
25,secondary,2,288
55,tertiary,22,215
32,secondary,-197,99
25,secondary,0,238
28,secondary,144,136
34,primary,-480,225
26,tertiary,350,367
56,primary,175,188
26,secondary,551,531
33,tertiary,621,217
55,tertiary,197,256
25,secondary,0,634
38,secondary,-14,124
27,secondary,87,260
58,unknown,-230,133
25,secondary,101,460
42,primary,1556,113
40,primary,-45,166
30,secondary,139,1046
26,secondary,-90,240
58,unknown,-509,239
59,primary,830,116
48,secondary,1106,265
59,secondary,136,176
34,tertiary,-199,130
53,primary,-834,130
42,secondary,-283,96
25,secondary,218,272
25,secondary,1923,71
28,unknown,2736,705
41,secondary,26,428
45,secondary,-688,106
29,primary,50,185
25,unknown,314,455
51,secondary,564,187
26,tertiary,33,253
27,unknown,1007,154
39,secondary,87,114
30,unknown,-145,154
25,tertiary,-44,201
29,tertiary,0,574
39,secondary,130,202
27,tertiary,0,46
28,secondary,1294,401
38,secondary,338,191
60,primary,280,291
26,secondary,74,362
42,secondary,2699,92
51,tertiary,3604,287
30,secondary,1177,220
25,secondary,102,574
42,secondary,-150,249
28,secondary,2322,82
33,secondary,1248,359
54,tertiary,3,443
42,tertiary,478,165
44,secondary,26,190
31,primary,229,186
56,tertiary,51439,325
28,secondary,510,1767
32,secondary,252,145
55,secondary,67,267
31,secondary,731,188
35,secondary,148,199
26,secondary,68,141
40,primary,143,167
33,tertiary,870,545
25,secondary,4280,148
28,secondary,517,681
41,secondary,120,489
37,primary,33,483
59,primary,3540,165
57,secondary,2137,132
34,unknown,28,245
54,tertiary,-547,156
50,primary,-315,173
52,secondary,786,310
59,primary,1,214
33,tertiary,37,1082
53,primary,0,206
26,tertiary,8303,143
45,tertiary,854,730
56,secondary,-273,119
41,primary,-692,125
35,tertiary,28,259
55,secondary,971,154
28,tertiary,3694,70
60,secondary,1141,211
35,tertiary,793,163
51,secondary,35,123
36,secondary,30,716
34,secondary,280,86
33,secondary,0,116
30,secondary,2261,250
35,primary,46,338
56,secondary,307,175
56,primary,306,212
49,secondary,13229,77
41,secondary,-3,413
57,primary,4442,97
33,primary,1,135
29,secondary,-478,528
36,secondary,356,361
29,secondary,290,293
45,secondary,1343,220
26,secondary,81,803
51,secondary,272,217
46,primary,2775,188
29,secondary,359,604
52,secondary,288,159
45,secondary,3493,498
30,secondary,1249,220
33,secondary,0,285
29,tertiary,0,231
36,secondary,5,305
60,secondary,598,96
35,primary,790,221
33,tertiary,0,454
36,primary,795,215
28,secondary,1296,764
39,secondary,188,163
36,secondary,0,121
43,secondary,-392,185
47,secondary,0,297
25,secondary,628,266
34,secondary,233,303
60,secondary,725,266
25,secondary,0,112
52,unknown,414,424
30,secondary,4,61
38,secondary,1508,306
54,primary,175,1027
31,secondary,152,831
29,secondary,-32,510
37,secondary,277,338
28,tertiary,882,107
51,unknown,415,210
55,secondary,477,138
52,secondary,380,58
55,secondary,-246,305
25,secondary,142,312
34,secondary,-2,283
59,tertiary,96,55
28,secondary,-126,360
58,secondary,279,327
45,secondary,146,216
60,secondary,49,76
29,secondary,9,202
55,primary,1221,108
54,secondary,1063,194
34,tertiary,434,165
27,tertiary,108,141
50,secondary,1293,82
38,secondary,10,84
52,secondary,3554,89
59,tertiary,439,136
49,secondary,1838,203
44,tertiary,0,54
35,secondary,57,632
28,unknown,81,158
43,primary,328,192
31,secondary,4,144
42,tertiary,2476,251
28,tertiary,1252,319
38,secondary,0,635
52,secondary,0,584
57,secondary,75,157
30,primary,307,117
27,secondary,167,606
28,secondary,19,78
31,secondary,-329,119
32,secondary,-299,192
40,tertiary,2840,1720
45,secondary,1477,355
38,secondary,0,452
52,secondary,350,460
56,secondary,663,819
31,primary,485,447
42,secondary,-29,294
32,primary,0,63
35,secondary,629,518
37,primary,89,336
45,tertiary,-243,171
58,tertiary,913,326
30,secondary,57,55
48,secondary,-509,302
28,secondary,31,323
54,primary,-16,346
36,secondary,110,291
41,secondary,-329,426
25,secondary,86,483
33,secondary,969,107
49,primary,1040,474
39,secondary,7711,289
30,secondary,137,517
59,primary,468,71
54,tertiary,758,554
57,tertiary,5,96
60,tertiary,0,59
32,secondary,-1,228
29,tertiary,640,150
27,secondary,-59,154
26,secondary,102,658
41,primary,17,117
26,secondary,0,362
40,secondary,1011,145
26,secondary,370,1061
47,secondary,-107,236
36,tertiary,2309,268
57,primary,0,237
51,secondary,313,378
60,secondary,164,171
41,unknown,19,514
26,secondary,-128,392
34,secondary,123,218
29,secondary,-37,21
54,primary,8,116
27,tertiary,5262,201
35,primary,329,520
59,tertiary,1726,137
30,secondary,77,82
25,secondary,189,687
47,primary,-406,243
27,secondary,202,212
45,unknown,857,49
28,primary,420,65
45,secondary,0,376
36,tertiary,-74,476
37,secondary,128,379
32,tertiary,191,141
44,primary,1139,155
27,secondary,-110,90
25,secondary,224,17
30,secondary,245,187
26,primary,158,416
39,primary,1551,389
27,secondary,-151,283
41,primary,-516,554
28,tertiary,283,22
42,secondary,-1,38
41,secondary,97,212
26,primary,16,249
29,tertiary,313,227
44,secondary,5068,256
55,secondary,859,153
49,secondary,0,120
34,primary,567,241
27,secondary,13,103
56,secondary,339,114
60,secondary,874,861
59,primary,21,127
59,secondary,302,250
32,secondary,61,529
28,primary,-469,244
58,tertiary,136,199
41,secondary,232,104
49,secondary,177,191
47,tertiary,1890,161
43,secondary,48,89
46,secondary,-121,214
56,secondary,61,75
33,tertiary,6,1111
52,secondary,4873,99
34,secondary,145,183
32,secondary,4,173
32,secondary,123,329
30,primary,374,225
47,secondary,125,210
49,secondary,884,201
57,tertiary,10,320
42,secondary,0,1011
52,secondary,49,280
38,primary,618,184
27,tertiary,154,75
32,tertiary,611,353
41,secondary,0,126
36,secondary,199,183
43,tertiary,0,134
58,tertiary,941,254
34,secondary,1,394
40,secondary,275,139
38,secondary,121,80
34,primary,31,53
44,tertiary,-948,129
44,tertiary,773,618
47,secondary,0,250
31,secondary,1,82
41,secondary,112,158
57,secondary,950,1272
53,tertiary,673,182
50,secondary,20,95
46,secondary,152,72
44,secondary,233,150
42,tertiary,0,98
43,primary,0,132
37,secondary,1003,259
48,secondary,719,205
56,primary,278,261
44,tertiary,6350,323
26,secondary,111,537
35,primary,1994,64
35,secondary,0,42
28,tertiary,25,618
54,secondary,4816,406
36,secondary,56,183
28,primary,150,112
35,secondary,332,199
53,tertiary,0,296
60,primary,2270,206
33,unknown,117,133
35,secondary,616,317
39,tertiary,628,97
53,tertiary,888,128
46,secondary,118,296
41,tertiary,532,74
46,tertiary,-591,126
33,tertiary,0,389
50,unknown,0,99
30,tertiary,5,99
52,tertiary,3440,194
46,unknown,990,420
45,primary,452,96
57,primary,2,138
45,tertiary,702,110
41,tertiary,0,55
57,secondary,0,45
41,secondary,351,175
51,secondary,-201,153
50,secondary,1572,185
59,secondary,170,62
44,secondary,266,72
49,secondary,167,51
26,secondary,25,94
45,secondary,-100,93
34,primary,-1,272
34,secondary,-154,295
50,secondary,38,42
36,secondary,281,225
30,tertiary,0,127
54,secondary,-22,85
44,secondary,438,42
45,secondary,2020,55
59,primary,133,206
40,primary,665,781
45,secondary,0,113
59,tertiary,6,275
56,tertiary,787,92
40,tertiary,1247,157
45,secondary,5758,16
53,secondary,-165,89
53,secondary,-626,205
33,secondary,0,128
30,secondary,1090,65
35,secondary,2355,515
27,secondary,387,194
60,primary,838,147
35,secondary,1,112
33,tertiary,191,25
45,secondary,4855,285
42,secondary,634,61
31,tertiary,272,174
51,tertiary,-267,42
52,unknown,0,1486
34,secondary,0,130
56,tertiary,24,44
40,secondary,0,145
43,secondary,173,238
44,tertiary,1206,160
37,primary,214,645
36,tertiary,3043,254
43,primary,0,1242
58,tertiary,776,990
37,tertiary,8,64
31,unknown,1023,219
55,primary,283,115
47,secondary,690,113
53,primary,-286,126
41,tertiary,1583,662
49,secondary,0,625
40,secondary,4,189
43,tertiary,-2,124
41,primary,4488,321
30,primary,6,102
36,secondary,264,482
43,secondary,-754,727
28,secondary,1950,147
35,primary,218,127
36,secondary,47,36
44,tertiary,368,73
43,tertiary,-410,189
34,secondary,0,127
54,primary,0,130
60,secondary,19447,196
39,secondary,1045,290
48,secondary,-205,112
46,tertiary,917,389
33,tertiary,0,310
41,tertiary,-426,294
59,unknown,-114,611
34,secondary,0,62
29,secondary,492,259
25,tertiary,0,160
40,secondary,-253,177
35,tertiary,2682,156
28,secondary,241,275
39,tertiary,416,427
57,secondary,140,143
44,secondary,381,92
53,secondary,320,175
45,tertiary,4693,148
37,unknown,247,366
31,unknown,0,138
42,secondary,808,121
60,secondary,681,337
31,secondary,1,236
43,primary,140,52
48,primary,788,36
35,unknown,2361,90
29,tertiary,0,426
44,tertiary,1808,127
54,primary,621,180
57,secondary,976,98
55,tertiary,101,111
37,unknown,0,90
41,secondary,557,72
45,secondary,1028,113
57,secondary,323,54
35,tertiary,6997,1121
42,tertiary,0,236
52,primary,324,81
34,secondary,0,628
43,primary,75,118
60,unknown,2150,119
57,secondary,65,171
32,secondary,216,71
34,tertiary,475,1156
44,primary,142,668
31,tertiary,933,134
35,secondary,734,128
28,secondary,441,171
41,secondary,231,76
45,secondary,335,89
35,secondary,0,277
46,secondary,4,78
28,secondary,404,188
39,secondary,687,869
52,tertiary,0,197
33,secondary,-384,125
54,primary,-182,98
38,tertiary,327,556
39,secondary,750,175
39,secondary,4380,87
49,secondary,-120,100
42,secondary,704,31
39,secondary,-388,205
50,secondary,1457,167
57,primary,389,108
45,secondary,1097,180
42,secondary,-422,31
56,primary,-160,96
59,primary,625,133
40,secondary,105,161
46,tertiary,375,130
56,primary,122,145
37,tertiary,1146,80
39,primary,3324,108
40,secondary,22,145
48,secondary,113,532
32,primary,187,91
42,secondary,380,124
33,tertiary,127,279
35,secondary,113,143
30,secondary,1210,100
39,secondary,1751,178
52,secondary,32,103
25,secondary,959,144
39,tertiary,1070,71
37,tertiary,865,332
48,secondary,425,693
43,tertiary,3872,225
47,secondary,0,289
44,primary,0,224
32,secondary,68,224
33,tertiary,383,125
44,secondary,145,672
31,secondary,418,219
45,secondary,-288,192
33,secondary,0,160
25,secondary,281,173
52,tertiary,-1112,94
51,primary,804,176
44,secondary,262,74
35,secondary,670,378
59,tertiary,3800,70
48,secondary,124,294
51,secondary,260,183
29,secondary,1958,643
54,tertiary,231,203
48,secondary,469,313
30,secondary,214,364
30,secondary,350,171
34,secondary,1,290
56,secondary,778,659
56,secondary,343,77
40,secondary,252,140
49,tertiary,0,87
39,primary,-176,176
38,primary,-257,458
51,secondary,3180,384
28,secondary,368,174
45,primary,942,295
34,secondary,81,90
26,secondary,1101,206
36,tertiary,6404,304
32,secondary,0,49
34,secondary,49,181
49,primary,0,106
34,secondary,550,601
59,tertiary,-869,113
35,secondary,-258,219
29,tertiary,-223,208
31,secondary,203,359
51,unknown,1432,388
37,secondary,0,397
42,secondary,0,431
51,secondary,104,71
30,secondary,1,347
43,primary,13,977
49,secondary,66,218
27,secondary,282,676
45,secondary,0,74
27,primary,0,240
33,primary,0,83
35,tertiary,364,247
52,primary,98,271
50,primary,-75,233
59,primary,370,425
33,tertiary,437,293
41,secondary,1249,391
47,secondary,424,432
46,secondary,6253,411
37,tertiary,512,61
26,secondary,-119,359
32,tertiary,57,530
53,primary,-139,328
39,secondary,1385,446
33,primary,636,211
52,primary,0,266
31,primary,-147,263
26,secondary,818,226
37,secondary,982,231
35,primary,13,364
52,secondary,0,60
38,tertiary,633,171
50,tertiary,0,243
35,tertiary,153,593
58,primary,0,148
52,tertiary,350,156
56,tertiary,318,246
31,primary,498,445
47,secondary,3434,337
32,tertiary,794,1014
47,secondary,-380,399
47,secondary,0,173
35,primary,0,17
33,primary,-191,1290
51,secondary,234,281
31,tertiary,409,564
37,tertiary,224,128
48,primary,51,76
36,primary,0,39
51,unknown,41,16
41,unknown,2113,20
49,secondary,313,115
32,unknown,73,175
32,primary,0,90
40,secondary,2621,607
56,secondary,237,236
29,tertiary,0,150
50,secondary,1683,56
27,secondary,228,799
29,secondary,1,372
49,primary,3,1439
27,primary,9,919
33,primary,2,227
42,tertiary,199,497
56,secondary,800,170
56,secondary,1560,89
36,primary,227,185
42,tertiary,-560,630
42,secondary,2030,196
50,secondary,858,41
34,primary,-319,134
30,secondary,155,1426
32,secondary,983,121
41,secondary,-194,307
39,secondary,1309,37
42,secondary,-274,75
41,unknown,30,151
32,tertiary,1,143
49,secondary,-1965,317
52,secondary,3422,168
51,secondary,121,122
44,tertiary,119,67
39,secondary,0,29
40,primary,137,214
40,unknown,419,347
54,tertiary,0,88
42,secondary,-728,305
46,secondary,2583,111
48,secondary,-367,281
37,secondary,2055,241
57,tertiary,1410,185
35,secondary,1330,901
29,tertiary,55,235
47,unknown,184,144
30,secondary,10152,266
60,primary,71,121
27,secondary,-266,162
55,primary,199,192
52,primary,-104,124
42,secondary,97,108
28,secondary,477,93
26,secondary,-29,998
35,unknown,1084,1019
44,primary,-237,73
38,tertiary,-49,211
39,primary,4453,156
33,secondary,-56,119
28,secondary,475,30
35,secondary,725,402
31,secondary,2,371
56,secondary,289,226
48,secondary,725,105
53,secondary,768,218
54,secondary,-437,158
49,secondary,360,168
50,primary,-677,387
32,tertiary,113,68
40,secondary,540,217
44,tertiary,-710,183
34,tertiary,0,129
38,secondary,15,121
46,secondary,218,41
30,secondary,-68,327
60,secondary,721,160
47,secondary,2,89
47,secondary,894,105
40,primary,-21,192
42,secondary,1261,272
39,primary,1146,364
30,secondary,167,255
29,secondary,13,90
38,secondary,137,624
30,primary,-336,128
31,secondary,12,81
56,tertiary,3885,51
32,secondary,0,75
33,tertiary,55,384
54,tertiary,59,268
31,tertiary,181,497
28,secondary,0,165
57,tertiary,-5,42
33,secondary,0,181
38,secondary,-475,234
59,secondary,32,121
60,secondary,594,190
59,primary,20,298
57,secondary,334,356
41,tertiary,472,783
40,primary,624,228
43,tertiary,4923,1102
39,secondary,709,441
38,secondary,2246,370
33,secondary,17,489
50,tertiary,1612,103
41,secondary,-215,277
46,secondary,190,154
35,secondary,25,144
33,tertiary,4054,633
37,secondary,2023,214
31,primary,46,37
36,secondary,9002,793
30,secondary,211,473
37,secondary,1981,140
32,secondary,1143,412
36,secondary,1127,455
36,primary,3352,503
41,primary,76,439
30,tertiary,0,152
30,secondary,-298,174
45,unknown,3133,804
30,tertiary,91,179
34,secondary,-33,961
42,secondary,898,347
43,secondary,-1415,58
26,secondary,2063,221
45,secondary,205,329
35,primary,0,187
47,secondary,182,39
59,secondary,0,982
51,primary,0,324
29,secondary,-33,171
39,primary,521,149
35,secondary,-428,147
29,secondary,0,45
52,secondary,2072,224
29,secondary,-293,150
43,tertiary,177,117
34,tertiary,0,95
38,primary,1351,96
58,secondary,439,48
46,tertiary,445,292
50,primary,-10,369
60,tertiary,473,100
33,tertiary,1746,184
48,secondary,4597,285
28,secondary,72,418
57,tertiary,29,532
56,secondary,-890,467
34,secondary,0,38
35,tertiary,292,220
47,secondary,2246,330
41,secondary,5517,584
51,primary,1236,613
27,secondary,48,152
56,primary,0,542
42,secondary,703,210
32,secondary,107,120
41,secondary,393,122
34,secondary,290,132
48,tertiary,0,108
36,tertiary,789,80
56,tertiary,1674,143
32,secondary,0,212
43,primary,1968,279
35,secondary,454,154
56,primary,966,68
32,secondary,-23,182
55,secondary,645,123
34,secondary,0,185
38,tertiary,219,478
55,primary,386,136
37,secondary,563,27
56,secondary,140,173
37,secondary,-261,259
51,secondary,520,157
40,secondary,2158,277
33,tertiary,91,526
37,tertiary,227,283
33,secondary,-84,506
42,tertiary,367,563
54,secondary,791,66
49,secondary,1127,579
35,primary,0,421
35,secondary,203,301
41,secondary,-29,188
37,tertiary,15437,123
56,secondary,510,288
36,secondary,580,633
36,tertiary,1013,111
34,secondary,0,268
40,secondary,3571,262
34,secondary,0,307
34,tertiary,870,58
38,secondary,260,446
39,secondary,3,102
37,primary,166,151
25,secondary,19,133
39,secondary,54,466
36,secondary,82,226
34,tertiary,580,380
39,tertiary,-4,358
33,secondary,1786,209
31,secondary,0,114
60,tertiary,2131,421
46,primary,-388,207
49,primary,78,139
31,primary,2,112
56,secondary,275,323
58,secondary,9994,400
32,secondary,0,428
30,secondary,85,81
29,secondary,1186,313
28,secondary,-170,720
50,secondary,-130,328
60,tertiary,340,361
25,tertiary,118,45
46,tertiary,0,85
57,secondary,158,73
26,tertiary,170,486
57,secondary,2,144
56,tertiary,89,83
56,tertiary,586,123
53,primary,61,190
58,secondary,1067,445
44,secondary,2316,81
58,primary,11,161
27,secondary,87,245
29,secondary,1714,45
35,secondary,-504,228
59,unknown,454,293
29,secondary,8,627
34,secondary,2378,92
30,secondary,1160,244
25,secondary,1243,1341
30,secondary,1598,634
54,tertiary,0,144
36,secondary,786,148
53,secondary,684,197
26,secondary,81,604
31,secondary,0,270
33,tertiary,1163,210
32,secondary,0,269
45,secondary,1387,446
32,secondary,264,71
41,primary,54,121
37,secondary,-54,573
30,secondary,5,829
47,secondary,367,476
35,secondary,609,136
47,secondary,3386,360
59,secondary,925,96
58,tertiary,0,227
57,secondary,658,724
38,tertiary,1722,500
34,secondary,5127,559
28,secondary,339,353
54,secondary,-315,2029
28,tertiary,1198,57
37,secondary,0,351
34,tertiary,1171,129
59,secondary,0,60
29,secondary,795,270
46,secondary,-319,502
49,primary,192,227
25,primary,2483,1499
37,primary,199,186
58,secondary,201,82
37,tertiary,0,108
30,tertiary,1338,81
34,secondary,80,240
50,secondary,892,189
41,tertiary,958,72
50,primary,888,160
44,secondary,-101,99
52,tertiary,-517,340
29,secondary,3,183
49,secondary,0,564
54,secondary,136,151
46,primary,44,90
30,tertiary,91,363
48,secondary,454,114
49,tertiary,2568,192
30,secondary,-156,119
37,secondary,859,154
29,secondary,8079,171
41,primary,407,387
35,secondary,501,223
35,secondary,63,480
45,primary,1145,156
49,primary,305,834
51,tertiary,126,412
45,primary,-24,164
42,primary,-404,562
41,primary,362,326
27,secondary,106,127
36,secondary,576,290
46,secondary,278,185
37,secondary,54,118
37,tertiary,159,377
33,secondary,89,524
37,secondary,456,85
41,secondary,305,61
60,primary,763,180
30,secondary,0,1399
52,primary,255,374
30,secondary,211,133
26,tertiary,45,1187
37,secondary,135,460
46,primary,1,270
44,primary,6,338
29,secondary,3527,171
26,secondary,235,721
33,secondary,66,182
31,primary,46,487
58,secondary,556,229
54,secondary,89,140
39,tertiary,397,113
44,tertiary,284,109
32,tertiary,26,55
33,secondary,109,184
39,primary,1220,148
37,tertiary,1403,91
35,secondary,275,144
29,secondary,482,1097
36,primary,3415,150
25,tertiary,-113,300
41,primary,1331,465
53,unknown,2242,154
53,secondary,0,311
27,tertiary,-23,123
29,tertiary,6586,176
52,primary,142,924
50,secondary,4,200
